ds,y
2022-11-07T09:39:53.388678584Z,111
2022-11-07T09:39:55.848882542Z,77
2022-11-07T09:39:58.305424334Z,115
2022-11-07T09:40:00.868455292Z,110
2022-11-07T09:40:03.286374959Z,115
2022-11-07T09:40:05.881655417Z,112
2022-11-07T09:40:08.286533Z,85
2022-11-07T09:40:10.784991584Z,105
2022-11-07T09:40:13.361836667Z,84
2022-11-07T09:40:15.785271959Z,96
2022-11-07T09:40:18.377758417Z,86
2022-11-07T09:40:20.834218125Z,96
2022-11-07T09:40:23.367619625Z,117
2022-11-07T09:40:25.852274667Z,22
2022-11-07T09:40:28.309394459Z,157
2022-11-07T09:40:30.871930459Z,154
2022-11-07T09:40:33.326842042Z,162
2022-11-07T09:40:35.887989125Z,169
2022-11-07T09:40:38.28623125Z,142
2022-11-07T09:40:40.803661625Z,205
2022-11-07T09:40:43.362512625Z,179
2022-11-07T09:40:45.787269834Z,179
2022-11-07T09:40:48.380627375Z,163
2022-11-07T09:40:50.787119042Z,157
2022-11-07T09:40:53.311010292Z,154
2022-11-07T09:40:55.85799125Z,16
2022-11-07T09:40:58.315637667Z,172
2022-11-07T09:41:00.786555917Z,172
2022-11-07T09:41:03.285850209Z,0
2022-11-07T09:41:05.896489459Z,176
2022-11-07T09:41:08.286628709Z,102
2022-11-07T09:41:10.80935025Z,152
2022-11-07T09:41:13.367426667Z,144
2022-11-07T09:41:15.786804709Z,128
2022-11-07T09:41:18.28494825Z,125
2022-11-07T09:41:20.843678459Z,0
2022-11-07T09:41:23.300679375Z,119
2022-11-07T09:41:25.860841917Z,101
2022-11-07T09:41:28.315926209Z,111
2022-11-07T09:41:30.877584917Z,113
2022-11-07T09:41:33.338492959Z,106
2022-11-07T09:41:35.896888292Z,87
2022-11-07T09:41:38.353953917Z,0
2022-11-07T09:41:40.785235292Z,85
2022-11-07T09:41:43.373338917Z,115
2022-11-07T09:41:45.829820417Z,134
2022-11-07T09:41:48.285698709Z,144
2022-11-07T09:41:50.8487555Z,104
2022-11-07T09:41:53.306178959Z,176
2022-11-07T09:41:55.86698475Z,166
2022-11-07T09:41:58.286752792Z,176
2022-11-07T09:42:00.883608584Z,176
2022-11-07T09:42:03.344116375Z,165
2022-11-07T09:42:05.799045834Z,176
2022-11-07T09:42:08.358778209Z,107
2022-11-07T09:42:10.817300084Z,180
2022-11-07T09:42:13.376967584Z,179
2022-11-07T09:42:15.785967792Z,166
2022-11-07T09:42:18.394096709Z,163
2022-11-07T09:42:20.786466709Z,73
2022-11-07T09:42:23.284723459Z,161
2022-11-07T09:42:25.871086917Z,168
2022-11-07T09:42:28.287970709Z,154
2022-11-07T09:42:30.788120334Z,151
2022-11-07T09:42:33.346542Z,137
2022-11-07T09:42:35.803217084Z,166
2022-11-07T09:42:38.286474334Z,157
2022-11-07T09:42:40.820715834Z,155
2022-11-07T09:42:43.286916459Z,150
2022-11-07T09:42:45.841272917Z,154
2022-11-07T09:42:48.400815042Z,176
2022-11-07T09:42:50.856679375Z,0
2022-11-07T09:42:53.315637709Z,165
2022-11-07T09:42:55.871218459Z,161
2022-11-07T09:42:58.3308115Z,153
2022-11-07T09:43:00.89411275Z,159
2022-11-07T09:43:03.354866542Z,128
2022-11-07T09:43:05.808740917Z,181
2022-11-07T09:43:08.349927167Z,197
2022-11-07T09:43:10.824465584Z,180
2022-11-07T09:43:13.384958834Z,176
2022-11-07T09:43:15.79419025Z,160
2022-11-07T09:43:18.286786417Z,157
2022-11-07T09:43:20.860207Z,157
2022-11-07T09:43:23.320273084Z,158
2022-11-07T09:43:25.878515125Z,143
2022-11-07T09:43:28.2884495Z,97
2022-11-07T09:43:30.898433042Z,131
2022-11-07T09:43:33.353889084Z,2
2022-11-07T09:43:35.813660709Z,128
2022-11-07T09:43:38.372711084Z,112
2022-11-07T09:43:40.831796625Z,111
2022-11-07T09:43:43.394585417Z,107
2022-11-07T09:43:45.850309542Z,64
2022-11-07T09:43:48.305258542Z,93
2022-11-07T09:43:50.864930584Z,100
2022-11-07T09:43:53.325354292Z,108
2022-11-07T09:43:55.79043275Z,103
2022-11-07T09:43:58.326389834Z,38
2022-11-07T09:44:00.798252084Z,111
2022-11-07T09:44:03.289384625Z,0
2022-11-07T09:44:05.817465334Z,96
2022-11-07T09:44:08.288458584Z,98
2022-11-07T09:44:10.836875334Z,92
2022-11-07T09:44:13.394037667Z,112
2022-11-07T09:44:15.8520225Z,34
2022-11-07T09:44:18.309673917Z,112
2022-11-07T09:44:20.869912584Z,115
2022-11-07T09:44:23.288181209Z,123
2022-11-07T09:44:25.902333959Z,145
2022-11-07T09:44:28.2895965Z,41
2022-11-07T09:44:30.804944292Z,177
2022-11-07T09:44:33.288385792Z,207
2022-11-07T09:44:35.822051542Z,186
2022-11-07T09:44:38.287629417Z,194
2022-11-07T09:44:40.788954292Z,181
2022-11-07T09:44:43.40205975Z,193
2022-11-07T09:44:45.789686917Z,13
2022-11-07T09:44:48.313971042Z,146
2022-11-07T09:44:50.880529792Z,118
2022-11-07T09:44:53.333978167Z,98
2022-11-07T09:44:55.794259667Z,89
2022-11-07T09:44:58.349052417Z,0
2022-11-07T09:45:00.809765417Z,112
2022-11-07T09:45:03.370566542Z,110
2022-11-07T09:45:05.826236042Z,107
2022-11-07T09:45:08.292236Z,117
2022-11-07T09:45:10.844185375Z,105
2022-11-07T09:45:13.292127834Z,121
2022-11-07T09:45:15.790912917Z,112
2022-11-07T09:45:18.317827167Z,131
2022-11-07T09:45:20.885051459Z,136
2022-11-07T09:45:23.340111084Z,141
2022-11-07T09:45:25.898311792Z,153
2022-11-07T09:45:28.354279625Z,0
2022-11-07T09:45:30.81394025Z,151
2022-11-07T09:45:33.373470959Z,161
2022-11-07T09:45:35.830127334Z,150
2022-11-07T09:45:38.388785084Z,150
2022-11-07T09:45:40.849841209Z,137
2022-11-07T09:45:43.309392792Z,158
2022-11-07T09:45:45.867563084Z,154
2022-11-07T09:45:48.323394917Z,158
2022-11-07T09:45:50.885673209Z,153
2022-11-07T09:45:53.342528084Z,144
2022-11-07T09:45:55.799316125Z,157
2022-11-07T09:45:58.359194792Z,0
2022-11-07T09:46:00.815723542Z,183
2022-11-07T09:46:03.378509209Z,189
2022-11-07T09:46:05.834282084Z,171
2022-11-07T09:46:08.326817334Z,192
2022-11-07T09:46:10.790166209Z,0
2022-11-07T09:46:13.310856084Z,174
2022-11-07T09:46:15.788874375Z,176
2022-11-07T09:46:18.298596542Z,186
2022-11-07T09:46:20.889204084Z,161
2022-11-07T09:46:23.292708417Z,121
2022-11-07T09:46:25.799085042Z,128
2022-11-07T09:46:28.2958255Z,143
2022-11-07T09:46:30.824611084Z,84
2022-11-07T09:46:33.292717Z,82
2022-11-07T09:46:35.792833667Z,79
2022-11-07T09:46:38.398572334Z,89
2022-11-07T09:46:40.856746125Z,0
2022-11-07T09:46:43.316515459Z,96
2022-11-07T09:46:45.789755417Z,95
2022-11-07T09:46:48.332540667Z,105
2022-11-07T09:46:50.791179459Z,103
2022-11-07T09:46:53.3515465Z,69
2022-11-07T09:46:55.796445292Z,96
2022-11-07T09:46:58.368079417Z,96
2022-11-07T09:47:00.801308625Z,96
2022-11-07T09:47:03.29520075Z,103
2022-11-07T09:47:05.790168042Z,112
2022-11-07T09:47:08.294674667Z,142
2022-11-07T09:47:10.863462875Z,53
2022-11-07T09:47:13.321011125Z,175
2022-11-07T09:47:15.791992209Z,163
