#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,clientId,lat,lng,prediction
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:31:50Z,59.275000000000006,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:32:00Z,59.2,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:32:10Z,59.4,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:32:20Z,59.349999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:32:30Z,59.625,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:32:40Z,59.325,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:32:50Z,59.325,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:33:00Z,59.275000000000006,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:33:10Z,59.4,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:33:20Z,59.3,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:33:30Z,59.375,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:33:40Z,59.3,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:33:50Z,59.375,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:34:00Z,59.475,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:34:10Z,59.45,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:34:20Z,59.55,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:34:30Z,59.625,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:34:40Z,59.724999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:34:50Z,59.625,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:35:00Z,59.849999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:35:10Z,59.675,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:35:20Z,59.825,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:35:30Z,59.625,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:35:40Z,59.5,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:35:50Z,59.575,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:36:00Z,59.425,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:36:10Z,59.375,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:36:20Z,59.349999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:36:30Z,59.65,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:36:40Z,59.400000000000006,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:36:50Z,59.325,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:37:00Z,59.29999999999999,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:37:10Z,59.375,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:37:20Z,59.2,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:37:30Z,59.175,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:37:40Z,59.375,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:37:50Z,59.45,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:38:00Z,59.5,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:38:10Z,59.45,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:38:20Z,59.625,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:38:30Z,60.075,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:38:40Z,59.675,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:38:50Z,59.55,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:39:00Z,59.525,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:39:10Z,59.5,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:39:20Z,59.55,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:39:30Z,59.625,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:39:40Z,59.525,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:39:50Z,59.45,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:40:00Z,59.224999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:40:10Z,59.25,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:40:20Z,59.3,humidity,val,diubi-esp-32,42.84629,13.904817,no
